Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,14.231872486658832
M,0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,6.691078291315689
I,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,8.253641767796337
F,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,7.962055422993259
F,0.29,0.21,0.075,0.275,0.113,0.0675,0.035,5.79535066974483
M,0.385,0.295,0.095,0.335,0.147,0.094,0.09,7.81332663770746
M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,6.558661616456717
F,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185,10.349376350522558
I,0.4,0.31,0.1,0.127,0.106,0.071,0.085,8.493049134088352
M,0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4,10.683674970901366
M,0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12.84408286542833
M,0.585,0.455,0.14,0.97,0.462,0.185,0.295,6.836811245833005
M,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6.0563160117082155
F,0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215,11.828448448097042
M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,11.193847266210502
F,0.44,0.33,0.115,0.4005,0.143,0.113,0.12,6.359471221035077
M,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18,12.747882701823082
F,0.56,0.425,0.125,0.932,0.361,0.213,0.335,10.361091910972018
F,0.59,0.455,0.175,0.966,0.391,0.2455,0.31,13.43519714463031
F,0.57,0.465,0.18,0.9995,0.405,0.277,0.295,15.952625759333348
M,0.68,0.53,0.205,1.496,0.5825,0.337,0.465,11.374852405106523
F,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,12.021996704405382
I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7.871140117262989
I,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,10.037681279758555
M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,8.07776958037457
M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,6.028226163907803
F,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,7.811508471611084
M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,12.973250028281871
M,0.46,0.375,0.135,0.4935,0.186,0.0845,0.17,11.896764622821868
M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,8.883005466849552
M,0.27,0.195,0.07,0.106,0.0465,0.018,0.036,7.4460468127082535
M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,9.316722902211641
F,0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,16.511290823603897
F,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,5.304355516212615
I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,4.562199073310225
M,0.55,0.44,0.135,0.879,0.368,0.2095,0.265,9.914749626217425
M,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,13.518654014891986
M,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,8.208879956117132
M,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,15.822886423421982
M,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,15.698157903443327
F,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,13.895895236062438
M,0.69,0.55,0.2,1.8465,0.732,0.472,0.57,18.975636743029778
F,0.715,0.565,0.24,2.1995,0.7245,0.465,0.885,16.747245038520575
F,0.71,0.565,0.195,1.817,0.785,0.492,0.49,12.791718167112139
F,0.55,0.47,0.15,0.897,0.377,0.184,0.29,10.588981841697347
M,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,7.656115951904834
F,0.61,0.45,0.16,1.136,0.414,0.311,0.3,11.310484821643788
I,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,8.265492727373037
F,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,0.5206700280151617
M,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,6.279538693063814
I,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,4.749115522600763
M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,9.633575372791437
I,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,7.667618083372543
I,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5.937156543801059
M,0.595,0.465,0.125,0.799,0.3245,0.2,0.23,10.225141140943197
F,0.645,0.5,0.17,1.1845,0.4805,0.274,0.355,13.26043102163388
M,0.575,0.45,0.185,0.925,0.342,0.197,0.35,12.024304359338974
F,0.57,0.45,0.17,1.098,0.414,0.187,0.405,18.83388799151284
F,0.58,0.45,0.235,1.071,0.3,0.206,0.395,16.536417990219764
F,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,14.781897633968132
F,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,13.231695568650885
F,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,22.374180377990434
M,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16.306386802063106
M,0.55,0.43,0.16,0.9295,0.317,0.1735,0.355,14.28453852930864
M,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,5.63863217307858
I,0.32,0.235,0.08,0.1485,0.064,0.031,0.045,4.671016668796411
M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,12.2042789673623
F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,8.026534774041592
M,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,11.110395604549558
M,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,11.221980250367373
F,0.49,0.37,0.14,0.585,0.243,0.115,0.195,13.036767479868983
M,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,10.405621659997427
M,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455,13.927036820919355
F,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,13.994396718525932
I,0.215,0.17,0.055,0.0605,0.0205,0.014,0.02,9.665398410923784
I,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13.6346908325979
I,0.26,0.215,0.08,0.099,0.037,0.0255,0.045,1.3383674393344736
I,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,6.226519914541879
I,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,13.984844586955798
I,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,8.038213642007879
F,0.68,0.55,0.2,1.596,0.525,0.4075,0.585,22.408587930314027
F,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,12.747549619351677
F,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25.69746910128354
M,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,20.308262983612746
M,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,17.920874443200184
M,0.42,0.345,0.105,0.43,0.175,0.096,0.13,6.635668174796463
I,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,10.241504746830929
F,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,5.490848842332739
M,0.42,0.34,0.115,0.4215,0.175,0.093,0.135,7.581591902720978
F,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,16.878140876245347
F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27.34343349613163
M,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,18.929442313869217
M,0.565,0.47,0.195,1.142,0.387,0.258,0.35,15.242698221091908
F,0.595,0.495,0.235,1.366,0.5065,0.219,0.52,16.370361172083786
M,0.63,0.51,0.23,1.539,0.5635,0.2815,0.57,17.01558278615723
F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8.059962002804612
F,0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175,5.610368326800586
I,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,6.702124083858457
F,0.515,0.415,0.13,0.764,0.276,0.196,0.25,14.799160578427065
M,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,17.40673686154099
F,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,11.594351017486344
F,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,8.152048075611022
M,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,14.451741852652447
F,0.625,0.525,0.195,1.352,0.4505,0.2445,0.53,13.67761338297539
F,0.555,0.455,0.18,0.958,0.296,0.195,0.39,15.036080125600852
F,0.55,0.425,0.145,0.797,0.297,0.15,0.265,8.385815247367308
M,0.59,0.475,0.155,0.857,0.356,0.174,0.28,13.213123074427035
I,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,4.000331328686613
I,0.275,0.2,0.075,0.086,0.0305,0.019,0.03,3.3605873020268127
F,0.505,0.39,0.175,0.692,0.267,0.15,0.215,11.35719942358184
M,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,6.632895914270057
M,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,14.662433337908242
F,0.505,0.4,0.165,0.729,0.2675,0.155,0.25,11.583753345827912
F,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,10.975936613724773
M,0.595,0.475,0.17,1.0965,0.419,0.229,0.35,17.37128025538733
F,0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,17.238416083002917
M,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,12.994919531154688
F,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,14.281514067758618
M,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4,19.20597830063634
I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,4.42668769625827
F,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,7.572808509749823
M,0.415,0.315,0.125,0.388,0.068,0.09,0.125,10.512767452295915
F,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,10.522946618399212
F,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,6.544528336920715
M,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,9.800568463513542
I,0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085,7.239164914393292
M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,4.871789121997754
F,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,9.594232911945614
F,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,14.478559623053345
M,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,5.658006484773954
F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,9.19546645343408
M,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,9.58304009349196
M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,12.38389149910315
F,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,17.97698699597467
F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,14.679669199000958
M,0.65,0.495,0.18,1.793,0.8005,0.339,0.53,14.331441824543255
M,0.51,0.395,0.145,0.6185,0.216,0.1385,0.24,12.35365469663773
M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,6.417454330152303
M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,11.926110681939678
M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,9.477613217839632
F,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,13.766269882236145
M,0.55,0.46,0.175,0.869,0.3155,0.1825,0.32,7.8762513581080595
M,0.585,0.43,0.16,0.955,0.3625,0.176,0.27,11.857995291581044
F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17.486522336647777
F,0.62,0.51,0.15,1.456,0.581,0.2875,0.32,9.158231574831438
I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14.539639472974915
F,0.72,0.575,0.215,2.226,0.8955,0.405,0.62,12.071366129710656
F,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,13.802551261123094
F,0.61,0.48,0.175,1.0675,0.391,0.216,0.42,15.48109423322297
F,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,17.153807276946665
M,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,11.94625643701696
F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,16.96666464077515
F,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25,11.725862415960014
M,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,11.862487944337051
F,0.67,0.52,0.15,1.406,0.519,0.348,0.37,10.176809492182212
M,0.695,0.57,0.2,2.033,0.751,0.4255,0.685,17.600325758544745
M,0.655,0.525,0.185,1.259,0.487,0.2215,0.445,17.94001232999745
F,0.62,0.48,0.23,1.0935,0.403,0.245,0.355,14.156701364096987
F,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,15.934443290125305
M,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,12.54776721057464
M,0.525,0.405,0.135,0.7575,0.3305,0.216,0.195,11.05579755510392
M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,5.815939891482447
I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8.688006328027273
F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10.515716371523109
I,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,2.99830956118938
I,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1,7.67829004097694
I,0.42,0.33,0.1,0.352,0.1635,0.089,0.1,11.659577574900993
F,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,11.953124983525049
F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,3.9404875953776686
I,0.33,0.265,0.09,0.18,0.068,0.036,0.06,6.075892046987752
F,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,12.60227442304975
I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,3.4518908421060694
M,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,9.893060146874815
F,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,10.495360640913061
I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6.103518259803795
M,0.525,0.425,0.12,0.702,0.3335,0.1465,0.22,12.3183539906087
F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,9.585312988215207
F,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,14.554060080930746
M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,7.378794602419729
I,0.415,0.325,0.1,0.385,0.167,0.08,0.125,5.669261001333901
I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,7.578830357675903
F,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,12.46905030968327
F,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,10.76244716656624
M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,10.126377518601707
F,0.58,0.455,0.12,0.94,0.399,0.257,0.265,9.821119939255427
M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,10.369645555538568
F,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23.867969088031618
F,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,13.378414288138181
F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,14.682963396771513
M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,12.667826393811422
M,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,13.806097798411363
F,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,10.692837305479339
M,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,5.4565418671864
I,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,6.986294887881521
M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,15.218920908971185
F,0.58,0.475,0.135,0.925,0.391,0.165,0.275,13.487398208118298
M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17.268454123848272
M,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13.197970860542581
M,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,14.667654351468645
F,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,13.345937257274855
F,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,17.607304374933456
I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,12.408563712666375
M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,11.937358462559
M,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,14.411069148922495
I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,10.0747784959331
F,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,15.936299623897748
F,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,8.221083760068442
M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,14.410532143586854
M,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,14.696289200077505
F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,14.960260041334811
I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15.023965492538677
I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,11.35937229514986
M,0.59,0.46,0.155,0.906,0.327,0.1485,0.335,16.22319783165919
F,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,10.063255341600758
M,0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,13.34231349808855
F,0.8,0.63,0.195,2.526,0.933,0.59,0.62,25.371042206169534
M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,20.041588809907715
F,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,16.98533615301497
M,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245,10.42033498383869
M,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,18.3914628709671
M,0.64,0.52,0.2,1.407,0.566,0.304,0.455,17.807034145322994
F,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,10.569414649416581
I,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,4.8140460897400175
I,0.255,0.185,0.07,0.075,0.028,0.018,0.025,3.6961575381252065
I,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,10.334913730098824
M,0.67,0.55,0.17,1.247,0.472,0.2455,0.4,18.83817711760042
F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,19.47078282064576
F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13.449125350547511
M,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,12.619777558096962
M,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,15.206682762899465
F,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,10.50659214722392
F,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,9.147906992980625
M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,21.770558309001178
M,0.7,0.53,0.19,1.3185,0.548,0.233,0.42,14.076858880688281
F,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,16.648169823412
M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,8.602913590944432
M,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,12.870879240359432
M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,11.538854686850378
M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,14.59698951241493
F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,17.787811056828026
F,0.645,0.525,0.2,1.449,0.601,0.2565,0.505,15.276900145246229
F,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11.10885788193047
M,0.55,0.45,0.155,0.7895,0.343,0.159,0.25,11.774244254162111
F,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,18.377361378850054
M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,15.54938834402813
F,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15.996992619966663
F,0.63,0.505,0.165,1.065,0.4595,0.216,0.315,12.45236743041688
M,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,22.25444859627675
M,0.65,0.545,0.16,1.2425,0.487,0.296,0.48,13.370305370153618
F,0.72,0.595,0.225,1.969,0.8045,0.423,0.66,13.350472455209431
I,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,16.152884974007684
I,0.42,0.325,0.115,0.354,0.1625,0.064,0.105,8.8228955898201
M,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,2.2366052932042413
F,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,6.057382370854293
F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12.384598146344523
I,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,9.911317843520207
M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,7.590017985265931
F,0.43,0.34,0.11,0.382,0.154,0.0955,0.109,11.27916992009029
I,0.535,0.41,0.155,0.6315,0.2745,0.1415,0.1815,10.936867508909245
I,0.415,0.325,0.115,0.3285,0.1405,0.051,0.106,14.03943997596858
F,0.36,0.265,0.09,0.2165,0.096,0.037,0.0735,7.472650566032677
M,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,4.968252273073313
M,0.155,0.115,0.025,0.024,0.009,0.005,0.0075,6.43677194127104
I,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,9.91564976276013
F,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,18.36343506816253
F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,12.073770938118203
F,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,8.690959852731792
F,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,14.976968882168062
I,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525,11.384866136329942
I,0.515,0.375,0.14,0.6505,0.2495,0.141,0.2215,10.351756340387206
M,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144,10.135272000533613
F,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,17.05762365261706
M,0.37,0.29,0.09,0.241,0.11,0.045,0.069,10.461448581308103
M,0.33,0.25,0.09,0.197,0.085,0.041,0.0605,9.433280090926973
I,0.3,0.22,0.09,0.1425,0.057,0.0335,0.043,5.395503174141942
I,0.625,0.46,0.16,1.2395,0.55,0.273,0.38,10.52864236734754
I,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,14.320956985590124
I,0.625,0.465,0.155,0.972,0.404,0.1845,0.35,17.950208710266978
I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,12.839222511968327
I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,11.669708733077456
F,0.53,0.43,0.17,0.775,0.35,0.152,0.235,19.972836360133712
I,0.445,0.33,0.1,0.437,0.163,0.0755,0.17,14.41796119363794
F,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,14.26431111996045
I,0.44,0.355,0.165,0.435,0.159,0.105,0.14,16.135122351822726
M,0.29,0.225,0.08,0.1295,0.0535,0.026,0.045,8.764384755301005
I,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15.411030611192322
I,0.655,0.515,0.145,1.25,0.5265,0.283,0.315,16.068761697333716
F,0.58,0.46,0.185,1.017,0.3515,0.2,0.32,13.03490235685697
I,0.625,0.43,0.175,1.411,0.572,0.297,0.395,11.29970409202886
I,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,14.331544164568239
F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,8.288622222816292
F,0.505,0.375,0.115,0.5895,0.2635,0.12,0.167,9.02575069888015
I,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785,5.821260992812519
M,0.31,0.245,0.095,0.15,0.0525,0.034,0.048,6.636418493979508
F,0.505,0.38,0.145,0.651,0.2935,0.19,0.17,17.23326417654511
I,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,9.021321241307673
M,0.4,0.315,0.105,0.287,0.1135,0.037,0.113,10.261274159895324
M,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,19.117898891986847
M,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,12.072714076712614
F,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,15.429273082941084
F,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,6.635155355092259
M,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,14.59926796801599
I,0.52,0.415,0.16,0.595,0.2105,0.142,0.26,14.50991483358927
F,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,13.245527051620755
F,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095,13.249241048816396
M,0.26,0.2,0.065,0.096,0.044,0.027,0.03,7.0989005674500145
I,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,10.951006200842924
I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,15.212883888681857
M,0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,7.320281212811286
F,0.53,0.385,0.125,0.6695,0.289,0.151,0.18,7.232267262428651
M,0.34,0.255,0.095,0.213,0.081,0.034,0.07,8.9811634007426
I,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11.080269089953852
F,0.635,0.5,0.18,1.312,0.529,0.2485,0.485,16.71655827467335
F,0.61,0.485,0.165,1.087,0.4255,0.232,0.38,11.842980161270162
F,0.66,0.515,0.18,1.523,0.54,0.3365,0.555,12.572871255396716
I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,14.489590058045469
F,0.465,0.38,0.135,0.579,0.208,0.1095,0.22,16.65180680452794
M,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,20.780138361151685
I,0.335,0.24,0.095,0.17,0.062,0.039,0.055,7.282629610093571
F,0.515,0.4,0.17,0.796,0.258,0.1755,0.28,17.114118538501224
F,0.345,0.255,0.1,0.197,0.071,0.051,0.06,10.143719201648302
M,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,9.85974922335816
M,0.54,0.415,0.17,0.879,0.339,0.208,0.255,8.217538566001922
M,0.475,0.355,0.125,0.4625,0.186,0.107,0.145,10.325907156734557
F,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,13.788255535526105
M,0.5,0.355,0.14,0.528,0.2125,0.149,0.14,11.397453160529983
M,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,11.968451497824411
F,0.55,0.435,0.17,0.884,0.2875,0.1645,0.28,17.027646134086886
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,5.212390308972503
F,0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,6.337483198892454
F,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,7.188094862009683
F,0.42,0.33,0.125,0.463,0.186,0.11,0.145,11.31860221978673
M,0.35,0.26,0.09,0.198,0.0725,0.056,0.06,8.378623403459075
M,0.395,0.305,0.105,0.282,0.0975,0.065,0.096,9.039811600729411
I,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,7.660607495091531
I,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027,1.0432829055501225
I,0.235,0.17,0.065,0.0625,0.023,0.014,0.022,4.80114595108483
I,0.25,0.18,0.06,0.073,0.028,0.017,0.0225,9.007237769701586
I,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225,4.749435743208494
I,0.2,0.145,0.05,0.036,0.0125,0.008,0.011,1.092355005099372
F,0.585,0.47,0.17,1.099,0.3975,0.2325,0.358,20.127827446597887
M,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14.30718200875088
F,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,13.293804726732505
M,0.44,0.325,0.08,0.413,0.144,0.1015,0.13,9.034360109908718
M,0.515,0.405,0.14,0.8505,0.312,0.146,0.315,17.373418577938367
F,0.52,0.405,0.14,0.6915,0.276,0.137,0.215,9.561427106511145
M,0.5,0.39,0.13,0.709,0.275,0.168,0.18,12.796282533055747
M,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,7.743935627040996
M,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,12.582194997089879
F,0.37,0.275,0.08,0.227,0.093,0.0625,0.07,9.260314295908705
M,0.54,0.415,0.13,0.8245,0.272,0.226,0.24,14.263244436997411
M,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,9.754571779897233
